,numChecklists,numContributors,numSpecies
2018-01-01,1544,608,167
2018-01-02,674,409,157
2018-01-03,741,420,153
2018-01-04,385,309,117
2018-01-05,409,310,128
2018-01-06,623,386,135
2018-01-07,976,487,146
2018-01-08,541,387,142
2018-01-09,593,366,143
2018-01-10,675,423,149
2018-01-11,693,401,149
2018-01-12,391,280,127
2018-01-13,907,456,144
2018-01-14,1105,474,149
2018-01-15,943,464,143
2018-01-16,552,337,145
2018-01-17,440,290,124
2018-01-18,514,317,137
2018-01-19,684,360,139
2018-01-20,1348,510,156
2018-01-21,1169,523,157
2018-01-22,506,342,133
2018-01-23,345,269,121
2018-01-24,447,313,132
2018-01-25,525,319,143
2018-01-26,543,336,140
2018-01-27,1023,490,152
2018-01-28,1028,454,148
2018-01-29,476,324,136
2018-01-30,367,277,132
2018-01-31,454,315,138
2018-02-01,550,343,140
2018-02-02,365,283,131
2018-02-03,903,466,145
2018-02-04,660,406,149
2018-02-05,453,317,131
2018-02-06,467,337,137
2018-02-07,336,268,112
2018-02-08,481,321,134
2018-02-09,528,356,129
2018-02-10,901,481,150
2018-02-11,678,370,136
2018-02-12,484,361,142
2018-02-13,462,333,135
2018-02-14,595,366,137
2018-02-15,576,346,139
2018-02-16,1154,887,144
2018-02-17,2052,1306,159
2018-02-18,2056,1325,161
2018-02-19,1424,1007,148
2018-02-20,637,424,136
2018-02-21,739,477,141
2018-02-22,434,355,137
2018-02-23,529,323,135
2018-02-24,1142,535,154
2018-02-25,773,392,138
2018-02-26,691,427,140
2018-02-27,721,453,151
2018-02-28,696,444,148
2018-03-01,647,423,144
2018-03-02,402,314,111
2018-03-03,870,457,153
2018-03-04,992,494,156
2018-03-05,514,349,139
2018-03-06,595,399,151
2018-03-07,406,297,124
2018-03-08,469,334,135
2018-03-09,450,324,129
2018-03-10,865,461,153
2018-03-11,976,491,151
2018-03-12,489,379,140
2018-03-13,382,288,121
2018-03-14,369,299,121
2018-03-15,460,319,131
2018-03-16,479,358,141
2018-03-17,765,476,156
2018-03-18,834,466,159
2018-03-19,537,379,151
2018-03-20,518,348,145
2018-03-21,417,303,128
2018-03-22,488,344,136
2018-03-23,527,364,146
2018-03-24,861,482,159
2018-03-25,903,494,154
2018-03-26,583,386,152
2018-03-27,513,359,154
2018-03-28,596,405,151
2018-03-29,573,381,156
2018-03-30,834,473,169
2018-03-31,1376,662,176
2018-04-01,944,541,167
2018-04-02,742,476,162
2018-04-03,520,359,148
2018-04-04,515,352,146
2018-04-05,737,459,160
2018-04-06,591,423,162
2018-04-07,1159,618,171
2018-04-08,1155,624,175
2018-04-09,715,487,164
2018-04-10,661,458,172
2018-04-11,769,532,175
2018-04-12,871,563,179
2018-04-13,1061,672,186
2018-04-14,1434,813,194
2018-04-15,1030,570,191
2018-04-16,574,427,188
2018-04-17,854,583,198
2018-04-18,929,602,204
2018-04-19,737,488,197
