,dayOfWeek,numChecklists,numContributors,numSpecies,date
2023-04-01,6,2048,1494,333,2023-04-01
2023-04-02,7,2627,1653,352,2023-04-02
2023-04-03,1,1805,1388,335,2023-04-03
2023-04-04,2,2054,1565,352,2023-04-04
2023-04-05,3,1764,1337,344,2023-04-05
2023-04-06,4,2052,1573,360,2023-04-06
2023-04-07,5,2163,1624,358,2023-04-07
2023-04-08,6,2871,1952,373,2023-04-08
2023-04-09,7,2515,1848,367,2023-04-09
2023-04-10,1,2079,1558,357,2023-04-10
2023-04-11,2,1897,1431,374,2023-04-11
2023-04-12,3,2023,1543,368,2023-04-12
2023-04-13,4,2013,1539,377,2023-04-13
2023-04-14,5,2258,1748,379,2023-04-14
2023-04-15,6,2695,1909,383,2023-04-15
2023-04-16,7,2634,1939,390,2023-04-16
2023-04-17,1,1527,1212,386,2023-04-17
2023-04-18,2,1584,1233,379,2023-04-18
2023-04-19,3,1511,1231,378,2023-04-19
2023-04-20,4,2034,1577,407,2023-04-20
2023-04-21,5,2420,1810,434,2023-04-21
2023-04-22,6,2769,1900,441,2023-04-22
2023-04-23,7,2556,1756,439,2023-04-23
2023-04-24,1,1984,1498,436,2023-04-24
2023-04-25,2,2089,1516,427,2023-04-25
2023-04-26,3,1960,1515,435,2023-04-26
2023-04-27,4,2058,1516,425,2023-04-27
2023-04-28,5,1977,1394,428,2023-04-28
2023-04-29,6,1657,1104,423,2023-04-29
2023-04-30,7,1797,1362,441,2023-04-30
2023-05-01,1,2309,1626,469,2023-05-01
2023-05-02,2,2255,1566,459,2023-05-02
2023-05-03,3,2131,1524,470,2023-05-03
2023-05-04,4,2187,1535,470,2023-05-04
2023-05-05,5,2961,1999,484,2023-05-05
2023-05-06,6,4052,2642,495,2023-05-06
2023-05-07,7,4454,2922,501,2023-05-07
2023-05-08,1,3343,2277,481,2023-05-08
2023-05-09,2,3195,2126,491,2023-05-09
2023-05-10,3,3285,2137,505,2023-05-10
2023-05-11,4,3581,2275,489,2023-05-11
2023-05-12,5,3616,2433,499,2023-05-12
2023-05-13,6,8951,3579,526,2023-05-13
2023-05-14,7,3359,2424,492,2023-05-14
2023-05-15,1,2609,1894,477,2023-05-15
2023-05-16,2,2695,1947,484,2023-05-16
2023-05-17,3,2178,1579,470,2023-05-17
2023-05-18,4,2463,1667,472,2023-05-18
2023-05-19,5,3089,1914,495,2023-05-19
2023-05-20,6,2784,1578,470,2023-05-20
2023-05-21,7,3895,2327,484,2023-05-21
2023-05-22,1,2239,1661,476,2023-05-22
2023-05-23,2,2224,1593,464,2023-05-23
2023-05-24,3,1875,1414,465,2023-05-24
2023-05-25,4,1792,1360,452,2023-05-25
2023-05-26,5,2170,1620,465,2023-05-26
2023-05-27,6,3097,1927,460,2023-05-27
2023-05-28,7,2657,1786,469,2023-05-28
2023-05-29,1,2422,1646,458,2023-05-29
2023-05-30,2,1582,1198,446,2023-05-30
2023-05-31,3,1792,1282,441,2023-05-31
2023-06-01,4,1683,1176,440,2023-06-01
2023-06-02,5,1640,1166,436,2023-06-02
2023-06-03,6,2449,1449,448,2023-06-03
2023-06-04,7,2471,1534,436,2023-06-04
2023-06-05,1,1606,1143,429,2023-06-05
2023-06-06,2,1373,1018,421,2023-06-06
2023-06-07,3,1125,853,402,2023-06-07
2023-06-08,4,1136,886,401,2023-06-08
2023-06-09,5,1503,1144,426,2023-06-09
2023-06-10,6,2144,1507,428,2023-06-10
2023-06-11,7,2269,1453,436,2023-06-11
2023-06-12,1,1060,816,396,2023-06-12
2023-06-13,2,1544,1132,400,2023-06-13
2023-06-14,3,1078,843,403,2023-06-14
2023-06-15,4,1652,1129,424,2023-06-15
2023-06-16,5,1394,962,413,2023-06-16
2023-06-17,6,1771,1298,415,2023-06-17
2023-06-18,7,2095,1460,420,2023-06-18
2023-06-19,1,2101,1323,429,2023-06-19
2023-06-20,2,1376,982,379,2023-06-20
2023-06-21,3,1264,949,379,2023-06-21
2023-06-22,4,1262,928,376,2023-06-22
2023-06-23,5,1316,960,390,2023-06-23
2023-06-24,6,1507,1044,394,2023-06-24
2023-06-25,7,1862,1230,395,2023-06-25
2023-06-26,1,1369,846,367,2023-06-26
2023-06-27,2,1179,907,374,2023-06-27
2023-06-28,3,1074,841,389,2023-06-28
2023-06-29,4,1235,901,384,2023-06-29
2023-06-30,5,1291,921,376,2023-06-30
2023-07-01,6,1638,1069,384,2023-07-01
2023-07-02,7,1300,972,382,2023-07-02
